"STATISTICHE UFFICIALI 2013/2014",,,,,,,,,,,,,,,,,,,,
"Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Codice","Ruolo","Calciatore","Squadra","P","Amm","Esp","Gf","Gs","assist","As","Af","Rp","R-","R+","Aut","Gv","Media Voto","Gp","FantaMedia","FantaMedia+"
392,"P","SKORUPSKI","ROMA",2,0,0,0,2,0,0,0,0,0,0,0,0,6.75,0,5.75,5.75
54,"P","STOJANOVIC","BOLOGNA",1,0,0,0,1,0,0,0,0,0,0,0,0,6.5,0,5.5,5.5
128,"P","SQUIZZI","CHIEVO",1,0,0,0,1,0,0,0,0,0,0,0,0,6.5,0,5.5,5.5
244,"P","BIZZARRI A.","GENOA",1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,6.5,6.5
238,"P","STORARI","JUVENTUS",6,0,0,0,3,0,0,0,0,0,0,0,0,6.42,0,5.92,5.92
176,"P","PERIN","GENOA",37,3,0,0,50,0,0,0,2,0,0,0,0,6.34,0,5.11,5.11
611,"P","SPORTIELLO","ATALANTA",3,0,0,0,3,0,0,0,0,0,0,0,0,6.33,0,5.33,5.33
727,"P","SCUFFET","UDINESE",16,1,0,0,22,0,0,0,0,0,0,0,0,6.31,0,4.91,4.91
219,"P","BUFFON","JUVENTUS",33,0,1,0,20,0,0,0,1,0,0,0,0,6.29,0,5.74,5.74
196,"P","HANDANOVIC","INTER",35,1,0,0,32,0,0,0,3,0,0,0,0,6.27,0,5.6,5.6
658,"P","PEGOLO","SASSUOLO",33,3,0,0,55,0,0,0,2,0,0,0,0,6.26,0,4.73,4.73
12,"P","CONSIGLI","ATALANTA",35,3,0,0,48,0,0,0,1,0,0,0,0,6.23,0,4.9,4.9
147,"P","NETO","FIORENTINA",35,3,0,0,38,0,0,0,0,0,0,0,0,6.21,0,5.09,5.09
359,"P","MIRANTE","PARMA",36,1,1,0,42,0,0,0,1,0,0,0,0,6.18,0,5.06,5.06
127,"P","SILVESTRI","CAGLIARI",3,0,1,0,5,0,0,0,0,0,0,1,0,6.17,0,3.5,3.5
380,"P","DE SANCTIS","ROMA",36,2,0,0,23,0,0,0,0,0,0,0,0,6.13,0,5.46,5.46
342,"P","REINA","NAPOLI",30,0,0,0,29,0,0,0,1,0,0,1,0,6.13,0,5.2,5.2
526,"P","RAFAEL","VERONA HELLAS",37,1,0,0,63,0,0,0,2,0,0,0,0,6.12,0,4.57,4.57
469,"P","PADELLI","TORINO",38,3,0,0,47,0,0,0,1,0,0,0,0,6.08,0,4.88,4.88
61,"P","AVRAMOV","CAGLIARI",23,4,0,0,25,0,0,0,0,0,0,0,0,6.07,0,4.89,4.89
120,"P","PUGGIONI","CHIEVO",23,0,0,0,32,0,0,0,1,0,0,0,0,6.07,0,4.8,4.8
649,"P","BERISHA","LAZIO",17,0,0,0,25,0,0,0,0,0,0,0,0,6.06,0,4.59,4.59
291,"P","ABBIATI","MILAN",28,4,1,0,31,0,0,0,0,0,0,1,0,6.02,0,4.73,4.73
325,"P","COLOMBO","NAPOLI",1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
341,"P","RAFAEL C.","NAPOLI",8,0,0,0,8,0,0,0,0,0,0,0,0,6,0,5,5
346,"P","BAJZA","PARMA",3,0,0,0,4,0,0,0,0,0,0,0,0,6,0,4.67,4.67
405,"P","FIORILLO","SAMPDORIA",5,0,0,0,13,0,0,0,0,0,0,0,0,6,0,3.4,3.4
92,"P","FRISON","CATANIA",14,2,0,0,24,0,0,0,1,0,0,1,0,6,0,4.29,4.29
237,"P","RUBINHO","JUVENTUS",1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
488,"P","KELAVA","UDINESE",10,2,0,0,13,0,0,0,0,0,0,0,0,6,0,4.6,4.6
730,"P","DOBLAS","NAPOLI",2,0,0,0,2,0,0,0,0,0,0,0,0,6,0,5,5
271,"P","BARDI","LIVORNO",35,5,0,0,69,0,0,0,0,0,0,1,0,5.99,0,3.89,3.89
57,"P","AGAZZI","CHIEVO",25,1,0,0,40,0,0,0,1,0,0,0,0,5.94,0,4.44,4.44
401,"P","DA COSTA","SAMPDORIA",33,1,0,0,49,0,0,0,0,0,0,0,0,5.94,0,4.44,4.44
292,"P","AMELIA","MILAN",5,0,0,0,8,0,0,0,0,0,0,0,0,5.9,0,4.3,4.3
40,"P","CURCI","BOLOGNA",37,2,0,0,57,0,0,0,1,0,0,0,0,5.88,0,4.39,4.39
191,"P","CARRIZO","INTER",4,0,0,0,7,0,0,0,1,0,0,0,0,5.88,0,4.88,4.88
477,"P","BRKIC","UDINESE",12,0,0,0,22,0,0,0,0,0,0,0,0,5.88,0,4.04,4.04
652,"P","ANANIA","LIVORNO",3,0,0,0,8,0,0,0,1,0,0,0,0,5.83,0,4.17,4.17
260,"P","MARCHETTI","LAZIO",21,1,0,0,29,0,0,0,0,0,0,0,0,5.83,0,4.43,4.43
83,"P","ANDUJAR","CATANIA",24,2,0,0,42,0,0,0,0,0,0,0,0,5.73,0,3.94,3.94
442,"P","POMINI","SASSUOLO",3,0,0,0,11,0,0,0,0,0,0,0,0,5.67,0,2,2
443,"P","ROSATI","FIORENTINA",5,1,0,0,12,0,0,0,1,0,0,1,0,5.5,0,3.2,3.2
462,"P","GOMIS","TORINO",1,1,0,0,1,0,0,0,0,0,0,0,0,5.5,0,4,4
302,"P","GABRIEL","MILAN",7,1,0,0,10,0,0,0,0,0,0,0,0,5.5,0,4,4
673,"P","ADAN GARRIDO","CAGLIARI",2,0,0,0,4,0,0,0,0,0,0,0,0,5,0,3,3
525,"P","NICOLAS","VERONA HELLAS",1,0,0,0,5,0,0,0,0,0,0,0,0,4.5,0,-0.5,-0.5
153,"A","ROSSI","FIORENTINA",21,1,0,10,0,1,1,0,0,0,6,0,3,6.76,0,9.02,9.07
239,"A","TEVEZ","JUVENTUS",34,4,0,18,0,4,4,0,0,0,1,0,5,6.75,0,8.37,8.49
530,"A","TONI","VERONA HELLAS",34,4,0,17,0,5,5,0,0,0,3,0,7,6.65,0,8.35,8.5
397,"A","TOTTI","ROMA",25,3,0,6,0,5,5,0,0,0,2,0,2,6.54,0,7.44,7.64
333,"A","HIGUAIN","NAPOLI",31,6,0,12,0,5,5,0,0,0,5,0,7,6.44,1,7.98,8.15
463,"A","IMMOBILE","TORINO",33,10,1,22,0,2,2,0,0,1,0,0,4,6.42,0,8.15,8.21
656,"A","ITURBE","VERONA HELLAS",33,4,0,8,0,4,4,0,0,0,0,0,2,6.35,0,7.02,7.14
560,"A","GERVINHO","ROMA",33,2,0,9,0,9,9,0,0,0,0,0,2,6.33,0,7.12,7.39
381,"A","DESTRO","ROMA",18,5,0,13,0,1,1,0,0,0,0,0,5,6.33,0,8.36,8.42
349,"A","CASSANO","PARMA",32,5,0,11,0,6,6,0,0,2,1,0,2,6.31,1,7.17,7.36
337,"A","MERTENS","NAPOLI",29,4,0,9,0,3,3,0,0,0,2,0,4,6.28,0,7.34,7.45
632,"A","KEITA","LAZIO",23,2,0,5,0,2,2,0,0,0,0,0,0,6.28,0,6.89,6.98
226,"A","LLORENTE","JUVENTUS",32,3,0,16,0,2,2,0,0,0,0,0,6,6.25,1,7.7,7.77
209,"A","PALACIO","INTER",37,4,0,17,0,5,5,0,0,0,0,0,6,6.18,0,7.5,7.64
223,"A","GIOVINCO","JUVENTUS",10,2,0,2,0,1,1,0,0,0,0,0,1,6.15,0,6.65,6.75
323,"A","CALLEJON","NAPOLI",37,7,0,15,0,5,5,0,0,0,0,0,4,6.15,0,7.27,7.41
427,"A","BERARDI D.","SASSUOLO",29,11,1,10,0,4,4,0,0,0,6,0,3,6.12,1,7.55,7.69
369,"A","SANSONE N.","SASSUOLO",25,2,0,6,0,6,6,0,0,0,0,0,2,6.12,1,6.8,7.04
168,"A","GILARDINO","GENOA",35,8,0,11,0,0,0,0,0,3,4,0,4,6.11,2,7.03,7.03
197,"A","ICARDI","INTER",20,1,0,9,0,1,1,0,0,0,0,0,3,6.1,0,7.42,7.47
285,"A","PAULINHO","LIVORNO",35,7,0,12,0,1,1,0,0,0,3,0,5,6.1,0,7.29,7.31
403,"A","EDER","SAMPDORIA",33,8,1,9,0,4,4,0,0,0,3,0,3,6.08,1,7.02,7.14
14,"A","DE LUCA","ATALANTA",14,2,0,4,0,1,1,0,0,0,0,0,2,6.07,2,6.86,6.93
482,"A","DI NATALE","UDINESE",30,1,0,12,0,0,0,0,0,2,4,0,5,6.05,3,7.43,7.43
236,"A","QUAGLIARELLA","JUVENTUS",10,1,0,1,0,0,0,0,0,0,0,0,0,6.05,0,6.3,6.3
16,"A","DENIS","ATALANTA",37,3,0,11,0,4,4,0,0,1,2,0,3,6.03,1,6.96,7.07
308,"A","PAZZINI","MILAN",15,1,0,2,0,0,0,0,0,0,0,0,1,6,0,6.37,6.37
363,"A","OKAKA","SAMPDORIA",15,4,0,5,0,3,3,0,0,0,0,0,3,6,0,6.87,7.07
339,"A","PANDEV","NAPOLI",24,3,0,7,0,3,3,0,0,1,0,0,2,6,0,6.69,6.81
440,"A","PAVOLETTI","SASSUOLO",1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
635,"A","ZAPATA D.","NAPOLI",11,2,0,5,0,2,2,0,0,0,0,0,1,6,0,7.27,7.45
520,"A","JUANITO","VERONA HELLAS",23,3,0,5,0,4,4,0,0,0,0,0,1,6,1,6.59,6.76
740,"A","CARUSO","CATANIA",1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
763,"A","BARTOLINI","LIVORNO",1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
70,"A","IBARBO","CAGLIARI",29,6,1,4,0,1,1,0,0,1,0,0,2,5.98,1,6.16,6.19
116,"A","PALOSCHI","CHIEVO",33,3,0,9,0,1,1,0,0,0,4,0,3,5.98,0,7.12,7.15
