STATISTICHE UFFICIALI 2013/2014,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
54,P,STOJANOVIC,BOLOGNA,1,0,0,0,1,0,0,0,0,0,0,0,0,6.5,0,5.5,5.5
392,P,SKORUPSKI,ROMA,2,0,0,0,2,0,0,0,0,0,0,0,0,6.5,0,5.5,5.5
611,P,SPORTIELLO,ATALANTA,3,0,0,0,3,0,0,0,0,0,0,0,0,6.5,0,5.5,5.5
652,P,ANANIA,LIVORNO,3,0,0,0,8,0,0,0,1,0,0,0,0,6.5,0,4.83,4.83
238,P,STORARI,JUVENTUS,6,0,0,0,3,0,0,0,0,0,0,0,0,6.42,0,5.92,5.92
176,P,PERIN,GENOA,37,3,0,0,50,0,0,0,2,0,0,0,0,6.39,0,5.16,5.16
658,P,PEGOLO,SASSUOLO,33,3,0,0,55,0,0,0,2,0,0,0,0,6.39,0,4.86,4.86
127,P,SILVESTRI,CAGLIARI,3,0,1,0,5,0,0,0,0,0,0,1,0,6.33,0,3.67,3.67
727,P,SCUFFET,UDINESE,16,1,0,0,22,0,0,0,0,0,0,0,0,6.31,0,4.91,4.91
12,P,CONSIGLI,ATALANTA,35,3,0,0,48,0,0,0,1,0,0,0,0,6.27,0,4.94,4.94
219,P,BUFFON,JUVENTUS,33,0,1,0,20,0,0,0,1,0,0,0,0,6.21,0,5.67,5.67
61,P,AVRAMOV,CAGLIARI,23,4,0,0,25,0,0,0,0,0,0,0,0,6.2,0,5.02,5.02
405,P,FIORILLO,SAMPDORIA,5,0,0,0,13,0,0,0,0,0,0,0,0,6.2,0,3.6,3.6
342,P,REINA,NAPOLI,30,0,0,0,29,0,0,0,1,0,0,1,0,6.2,0,5.27,5.27
196,P,HANDANOVIC,INTER,36,0,1,0,32,0,0,0,3,0,0,0,0,6.15,0,5.49,5.49
92,P,FRISON,CATANIA,14,2,0,0,24,0,0,0,1,0,0,1,0,6.14,0,4.43,4.43
380,P,DE SANCTIS,ROMA,36,2,0,0,23,0,0,0,0,0,0,0,0,6.14,0,5.47,5.47
359,P,MIRANTE,PARMA,36,1,1,0,42,0,0,0,1,0,0,0,0,6.13,0,5,5
469,P,PADELLI,TORINO,38,3,0,0,47,0,0,0,1,0,0,0,0,6.13,0,4.93,4.93
649,P,BERISHA,LAZIO,17,0,0,0,25,0,0,0,0,0,0,0,0,6.12,0,4.65,4.65
147,P,NETO,FIORENTINA,35,3,0,0,38,0,0,0,0,0,0,0,0,6.11,0,4.99,4.99
120,P,PUGGIONI,CHIEVO,23,0,0,0,32,0,0,0,1,0,0,0,0,6.09,0,4.83,4.83
271,P,BARDI,LIVORNO,35,3,0,0,69,0,0,0,0,0,0,1,0,6.09,0,4.01,4.01
401,P,DA COSTA,SAMPDORIA,33,1,0,0,49,0,0,0,0,0,0,0,0,6.08,0,4.58,4.58
40,P,CURCI,BOLOGNA,37,2,0,0,57,0,0,0,1,0,0,0,0,6.05,0,4.57,4.57
291,P,ABBIATI,MILAN,28,4,1,0,31,0,0,0,0,0,0,1,0,6.04,0,4.75,4.75
526,P,RAFAEL,VERONA HELLAS,37,1,0,0,63,0,0,0,2,0,0,0,0,6.03,0,4.47,4.47
57,P,AGAZZI,CHIEVO,25,1,0,0,40,0,0,0,1,0,0,0,0,6.02,0,4.52,4.52
237,P,RUBINHO,JUVENTUS,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
128,P,SQUIZZI,CHIEVO,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5,5
244,P,BIZZARRI A.,GENOA,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
325,P,COLOMBO,NAPOLI,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
341,P,RAFAEL C.,NAPOLI,8,0,0,0,8,0,0,0,0,0,0,0,0,6,0,5,5
346,P,BAJZA,PARMA,3,0,0,0,4,0,0,0,0,0,0,0,0,6,0,4.67,4.67
462,P,GOMIS,TORINO,1,1,0,0,1,0,0,0,0,0,0,0,0,6,0,4.5,4.5
477,P,BRKIC,UDINESE,12,0,0,0,22,0,0,0,0,0,0,0,0,6,0,4.17,4.17
730,P,DOBLAS,NAPOLI,2,0,0,0,2,0,0,0,0,0,0,0,0,6,0,5,5
260,P,MARCHETTI,LAZIO,21,0,0,0,29,0,0,0,0,0,0,0,0,5.93,0,4.55,4.55
83,P,ANDUJAR,CATANIA,24,2,0,0,42,0,0,0,0,0,0,0,0,5.92,0,4.13,4.13
292,P,AMELIA,MILAN,5,0,0,0,8,0,0,0,0,0,0,0,0,5.9,0,4.3,4.3
488,P,KELAVA,UDINESE,10,2,0,0,13,0,0,0,0,0,0,0,0,5.85,0,4.45,4.45
