"STATISTICHE UFFICIALI 2013/2014",,,,,,,,,,,,,,,,,,,,
"Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Codice","Ruolo","Calciatore","Squadra","P","Amm","Esp","Gf","Gs","assist","As","Af","Rp","R-","R+","Aut","Gv","Media Voto","Gp","FantaMedia","FantaMedia+"
237,"P","RUBINHO","JUVENTUS",1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7
392,"P","SKORUPSKI","ROMA",2,0,0,0,2,0,0,0,0,0,0,0,0,7,0,6,6
127,"P","SILVESTRI","CAGLIARI",3,0,1,0,5,0,0,0,0,0,0,1,0,6.83,0,4.17,4.17
238,"P","STORARI","JUVENTUS",6,0,0,0,3,0,0,0,0,0,0,0,0,6.5,0,6,6
244,"P","BIZZARRI A.","GENOA",1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,6.5,6.5
54,"P","STOJANOVIC","BOLOGNA",1,0,0,0,1,0,0,0,0,0,0,0,0,6.5,0,5.5,5.5
611,"P","SPORTIELLO","ATALANTA",3,0,0,0,3,0,0,0,0,0,0,0,0,6.5,0,5.5,5.5
176,"P","PERIN","GENOA",37,3,0,0,50,0,0,0,2,0,0,0,0,6.41,0,5.18,5.18
219,"P","BUFFON","JUVENTUS",33,0,1,0,20,0,0,0,1,0,0,0,0,6.41,0,5.86,5.86
12,"P","CONSIGLI","ATALANTA",35,3,0,0,48,0,0,0,1,0,0,0,0,6.39,0,5.06,5.06
727,"P","SCUFFET","UDINESE",16,1,0,0,22,0,0,0,0,0,0,0,0,6.38,0,4.97,4.97
658,"P","PEGOLO","SASSUOLO",33,3,0,0,55,0,0,0,2,0,0,0,0,6.36,0,4.83,4.83
147,"P","NETO","FIORENTINA",35,3,0,0,38,0,0,0,0,0,0,0,0,6.31,0,5.19,5.19
380,"P","DE SANCTIS","ROMA",36,2,0,0,23,0,0,0,0,0,0,0,0,6.29,0,5.63,5.63
730,"P","DOBLAS","NAPOLI",2,0,0,0,2,0,0,0,0,0,0,0,0,6.25,0,5.25,5.25
61,"P","AVRAMOV","CAGLIARI",23,4,0,0,25,0,0,0,0,0,0,0,0,6.24,0,5.07,5.07
342,"P","REINA","NAPOLI",30,0,0,0,29,0,0,0,1,0,0,1,0,6.22,0,5.28,5.28
359,"P","MIRANTE","PARMA",36,1,1,0,42,0,0,0,1,0,0,0,0,6.22,0,5.1,5.1
196,"P","HANDANOVIC","INTER",36,0,1,0,32,0,0,0,3,0,0,0,0,6.18,0,5.51,5.51
649,"P","BERISHA","LAZIO",17,0,0,0,25,0,0,0,0,0,0,0,0,6.18,0,4.71,4.71
346,"P","BAJZA","PARMA",3,0,0,0,4,0,0,0,0,0,0,0,0,6.17,0,4.83,4.83
92,"P","FRISON","CATANIA",14,1,0,0,24,0,0,0,1,0,0,1,0,6.14,0,4.46,4.46
120,"P","PUGGIONI","CHIEVO",23,0,0,0,32,0,0,0,1,0,0,0,0,6.13,0,4.87,4.87
469,"P","PADELLI","TORINO",38,3,0,0,47,0,0,0,1,0,0,0,0,6.13,0,4.93,4.93
271,"P","BARDI","LIVORNO",35,3,0,0,69,0,0,0,0,0,0,1,0,6.07,0,4,4
341,"P","RAFAEL C.","NAPOLI",8,0,0,0,8,0,0,0,0,0,0,0,0,6.06,0,5.06,5.06
477,"P","BRKIC","UDINESE",12,0,0,0,22,0,0,0,0,0,0,0,0,6.04,0,4.21,4.21
462,"P","GOMIS","TORINO",1,1,0,0,1,0,0,0,0,0,0,0,0,6,0,4.5,4.5
526,"P","RAFAEL","VERONA HELLAS",37,1,0,0,63,0,0,0,2,0,0,0,0,6,0,4.45,4.45
325,"P","COLOMBO","NAPOLI",1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
40,"P","CURCI","BOLOGNA",37,2,0,0,57,0,0,0,1,0,0,0,0,6,0,4.51,4.51
191,"P","CARRIZO","INTER",4,0,0,0,7,0,0,0,1,0,0,0,0,6,0,5,5
128,"P","SQUIZZI","CHIEVO",1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5,5
291,"P","ABBIATI","MILAN",28,4,1,0,31,0,0,0,0,0,0,1,0,5.93,0,4.64,4.64
401,"P","DA COSTA","SAMPDORIA",33,1,0,0,49,0,0,0,0,0,0,0,0,5.92,0,4.42,4.42
405,"P","FIORILLO","SAMPDORIA",5,0,0,0,13,0,0,0,0,0,0,0,0,5.9,0,3.3,3.3
488,"P","KELAVA","UDINESE",10,2,0,0,13,0,0,0,0,0,0,0,0,5.85,0,4.45,4.45
57,"P","AGAZZI","CHIEVO",25,1,0,0,40,0,0,0,1,0,0,0,0,5.84,0,4.34,4.34
260,"P","MARCHETTI","LAZIO",21,0,0,0,29,0,0,0,0,0,0,0,0,5.83,0,4.45,4.45
652,"P","ANANIA","LIVORNO",3,0,0,0,8,0,0,0,1,0,0,0,0,5.83,0,4.17,4.17
443,"P","ROSATI","FIORENTINA",5,1,0,0,12,0,0,0,1,0,0,0,0,5.8,0,3.9,3.9
292,"P","AMELIA","MILAN",5,0,0,0,8,0,0,0,0,0,0,0,0,5.8,0,4.2,4.2
83,"P","ANDUJAR","CATANIA",24,0,0,0,42,0,0,0,0,0,0,0,0,5.75,0,4,4
442,"P","POMINI","SASSUOLO",3,0,0,0,11,0,0,0,0,0,0,0,0,5.67,0,2,2
525,"P","NICOLAS","VERONA HELLAS",1,0,0,0,5,0,0,0,0,0,0,0,0,5.5,0,0.5,0.5
302,"P","GABRIEL","MILAN",7,1,0,0,10,0,0,0,0,0,0,0,0,5.29,0,3.79,3.79
673,"P","ADAN GARRIDO","CAGLIARI",2,0,0,0,4,0,0,0,0,0,0,0,0,5,0,3,3
153,"A","ROSSI","FIORENTINA",21,1,0,10,0,3,3,0,0,0,6,0,3,6.86,0,9.12,9.26
239,"A","TEVEZ","JUVENTUS",33,4,0,18,0,3,3,0,0,0,1,0,5,6.8,0,8.47,8.56
397,"A","TOTTI","ROMA",25,3,0,6,0,4,4,0,0,0,2,0,2,6.58,0,7.48,7.64
381,"A","DESTRO","ROMA",18,5,0,13,0,1,1,0,0,0,0,0,5,6.53,0,8.56,8.61
530,"A","TONI","VERONA HELLAS",34,4,0,17,0,6,6,0,0,0,3,0,7,6.53,0,8.24,8.41
333,"A","HIGUAIN","NAPOLI",31,6,0,12,0,6,6,0,0,0,5,0,7,6.47,1,8.02,8.21
226,"A","LLORENTE","JUVENTUS",32,3,0,16,0,4,4,0,0,0,0,0,6,6.45,1,7.91,8.03
656,"A","ITURBE","VERONA HELLAS",33,4,0,8,0,5,5,0,0,0,0,0,2,6.42,0,7.09,7.24
144,"A","LJAJIC","ROMA",25,5,0,5,0,4,4,0,0,0,1,0,1,6.4,0,7.02,7.18
560,"A","GERVINHO","ROMA",33,2,0,9,0,8,8,0,0,0,0,0,2,6.39,0,7.18,7.42
463,"A","IMMOBILE","TORINO",32,9,1,22,0,2,2,0,0,1,0,0,4,6.38,0,8.17,8.23
236,"A","QUAGLIARELLA","JUVENTUS",7,1,0,1,0,0,0,0,0,0,0,0,0,6.36,0,6.71,6.71
632,"A","KEITA","LAZIO",22,2,0,5,0,4,4,0,0,0,0,0,0,6.36,0,7,7.18
363,"A","OKAKA","SAMPDORIA",13,4,0,5,0,2,2,0,0,0,0,0,3,6.31,0,7.31,7.46
349,"A","CASSANO","PARMA",32,5,0,11,0,3,3,0,0,2,1,0,2,6.27,1,7.13,7.22
209,"A","PALACIO","INTER",37,4,0,17,0,6,6,0,0,0,0,0,6,6.27,0,7.59,7.76
335,"A","INSIGNE","NAPOLI",31,2,0,3,0,3,3,0,0,0,0,0,0,6.23,0,6.48,6.58
482,"A","DI NATALE","UDINESE",30,1,0,13,0,1,1,0,0,2,4,0,6,6.23,3,7.72,7.75
223,"A","GIOVINCO","JUVENTUS",9,2,0,2,0,1,1,0,0,0,0,0,1,6.22,0,6.78,6.89
285,"A","PAULINHO","LIVORNO",35,8,0,12,0,2,2,0,0,0,3,0,5,6.2,0,7.37,7.43
427,"A","BERARDI D.","SASSUOLO",29,10,1,10,0,2,2,0,0,0,6,0,3,6.19,1,7.64,7.71
168,"A","GILARDINO","GENOA",35,7,0,11,0,0,0,0,0,3,4,0,4,6.19,2,7.11,7.11
115,"A","LAZAREVIC","CHIEVO",13,1,0,1,0,1,1,0,0,0,0,0,1,6.15,0,6.35,6.42
406,"A","GABBIADINI","SAMPDORIA",34,5,0,9,0,2,2,0,0,0,0,0,0,6.15,2,6.87,6.93
16,"A","DENIS","ATALANTA",37,2,0,11,0,3,3,0,0,1,2,0,3,6.14,1,7.08,7.16
197,"A","ICARDI","INTER",20,1,0,9,0,1,1,0,0,0,0,0,3,6.13,0,7.45,7.5
369,"A","SANSONE N.","SASSUOLO",23,2,0,7,0,2,2,0,0,0,0,0,3,6.13,1,7,7.09
374,"A","BORRIELLO","ROMA",9,2,0,1,0,0,0,0,0,0,0,0,1,6.06,0,6.28,6.28
447,"A","ZAZA","SASSUOLO",32,10,1,8,0,1,1,0,0,0,1,0,1,6.06,1,6.72,6.75
715,"A","OSVALDO","JUVENTUS",8,1,0,1,0,1,1,0,0,0,0,0,1,6.06,0,6.38,6.5
403,"A","EDER","SAMPDORIA",33,7,1,9,0,4,4,0,0,0,3,0,3,6.05,1,7,7.12
345,"A","AMAURI","PARMA",26,1,2,6,0,2,2,0,0,1,2,0,3,6.04,0,6.75,6.83
420,"A","SANSONE G.","SAMPDORIA",20,2,0,3,0,0,0,0,0,0,0,0,1,6.03,0,6.42,6.42
520,"A","JUANITO","VERONA HELLAS",24,3,0,5,0,5,5,0,0,0,0,0,1,6.02,1,6.58,6.79
538,"A","DOUKARA","CATANIA",1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,5.5,5.5
