QUOTAZIONI FANTAGAZZETTA 2014/2015,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,
,,,,,,
id,Ruolo,Calciatore,Squadra,Costo,Costo Iniziale,Diff
239,A,TEVEZ,JUVENTUS,"36,6","36,6",0
318,A,HIGUAIN,NAPOLI,"36,2","36,2",0
157,A,ROSSI,FIORENTINA,"35,6","35,6",0
237,A,LLORENTE,JUVENTUS,"33,3","33,3",0
155,A,GOMEZ M.,FIORENTINA,"32,5","32,5",0
538,A,TONI,VERONA,"30,4","30,4",0
210,A,PALACIO,INTER,"30,1","30,1",0
289,A,BALOTELLI,MILAN,"29,6","29,6",0
398,A,DESTRO,ROMA,"29,5","29,5",0
510,A,DI NATALE,UDINESE,"29,0","29,0",0
477,A,CERCI,TORINO,"28,8","28,8",0
209,A,ICARDI,INTER,"27,6","27,6",0
309,C,CALLEJON,NAPOLI,"27,4","27,4",0
449,A,BERARDI,SASSUOLO,"26,8","26,8",0
403,A,TOTTI,ROMA,"26,7","26,7",0
480,A,QUAGLIARELLA,TORINO,"26,3","26,3",0
26,A,DENIS,ATALANTA,"26,0","26,0",0
424,A,EDER,SAMPDORIA,"25,6","25,6",0
400,A,ITURBE,ROMA,"25,5","25,5",0
102,A,PALOSCHI,CHIEVO,"25,5","25,5",0
50,A,SAU,CAGLIARI,"25,4","25,4",0
266,A,KLOSE,LAZIO,"25,1","25,1",0
255,C,CANDREVA,LAZIO,"24,8","24,8",0
350,A,HERNANDEZ,PALERMO,"24,5","24,5",0
290,A,EL SHAARAWY,MILAN,"24,4","24,4",0
399,A,GERVINHO,ROMA,"24,3","24,3",0
373,A,CASSANO,PARMA,"24,2","24,2",0
235,C,VIDAL,JUVENTUS,"24,2","24,2",0
234,C,POGBA,JUVENTUS,"23,9","23,9",0
142,C,CUADRADO,FIORENTINA,"23,4","23,4",0
316,C,MERTENS,NAPOLI,"23,4","23,4",0
426,A,GABBIADINI,SAMPDORIA,"23,2","23,2",0
182,A,MATRI,GENOA,"23,1","23,1",0
47,A,IBARBO,CAGLIARI,"22,8","22,8",0
454,A,ZAZA,SASSUOLO,"22,8","22,8",0
313,C,HAMSIK,NAPOLI,"22,5","22,5",0
423,A,BERGESSIO,SAMPDORIA,"22,4","22,4",0
265,A,KEITA B.,LAZIO,"22,3","22,3",0
394,C,PJANIC,ROMA,"22,1","22,1",0
319,A,INSIGNE,NAPOLI,"22,1","22,1",0
513,A,THEREAU,UDINESE,"20,0","20,0",0
100,A,MAXI LOPEZ,CHIEVO,"20,0","20,0",0
140,C,BORJA VALERO,FIORENTINA,"20,0","20,0",0
453,A,SANSONE N.,SASSUOLO,"19,8","19,8",0
512,A,MURIEL,UDINESE,"19,5","19,5",0
199,C,HERNANES,INTER,"19,3","19,3",0
709,A,OSVALDO,INTER,"19,2","19,2",0
233,C,PIRLO,JUVENTUS,"19,0","19,0",0
73,A,MARILUNGO,CESENA,"18,8","18,8",0
372,A,BELFODIL,PARMA,"18,8","18,8",0
211,P,BUFFON,JUVENTUS,"18,7","18,7",0
395,C,STROOTMAN,ROMA,"18,6","18,6",0
401,A,LJAJIC,ROMA,"18,4","18,4",0
238,A,MORATA,JUVENTUS,"18,1","18,1",0
292,A,MENEZ,MILAN,"17,9","17,9",0
535,A,JUANITO GOMEZ,VERONA,"17,8","17,8",0
122,A,MACCARONE,EMPOLI,"17,8","17,8",0
365,C,BIABIANY,PARMA,"17,7","17,7",0
228,C,MARCHISIO,JUVENTUS,"17,4","17,4",0
264,A,DJORDJEVIC,LAZIO,"17,4","17,4",0
389,C,DE ROSSI,ROMA,"17,3","17,3",0
376,P,DE SANCTIS,ROMA,"17,2","17,2",0
17,C,BONAVENTURA,ATALANTA,"17,2","17,2",0
349,A,DYBALA,PALERMO,"17,1","17,1",0
138,C,AQUILANI,FIORENTINA,"16,9","16,9",0
220,D,LICHTSTEINER,JUVENTUS,"16,8","16,8",0
294,A,PAZZINI,MILAN,"16,5","16,5",0
236,A,GIOVINCO,JUVENTUS,"16,4","16,4",0
124,A,TAVANO,EMPOLI,"16,4","16,4",0
183,P,HANDANOVIC,INTER,"16,3","16,3",0
382,D,BENATIA,ROMA,"16,3","16,3",0
470,C,EL KADDOURI,TORINO,"16,1","16,1",0
263,C,PAROLO,LAZIO,"15,4","15,4",0
320,A,MICHU,NAPOLI,"15,3","15,3",0
371,A,AMAURI,PARMA,"15,1","15,1",0
707,A,BIANCHI,ATALANTA,"14,9","14,9",0
296,P,RAFAEL CABRAL,NAPOLI,"14,8","14,8",0
323,A,ZAPATA D.,NAPOLI,"14,7","14,7",0
390,C,FLORENZI,ROMA,"14,7","14,7",0
427,A,OKAKA,SAMPDORIA,"14,7","14,7",0
49,A,PINILLA,GENOA,"14,7","14,7",0
214,D,BARZAGLI,JUVENTUS,"14,5","14,5",0
200,C,KOVACIC,INTER,"14,3","14,3",0
766,C,KONE,UDINESE,"14,3","14,3",0
125,P,NETO,FIORENTINA,"14,2","14,2",0
134,D,RODRIGUEZ GO.,FIORENTINA,"14,1","14,1",0
502,C,BRUNO FERNANDES,UDINESE,"14,1","14,1",0
511,A,LOPEZ N.,UDINESE,"13,8","13,8",0
217,D,CHIELLINI,JUVENTUS,"13,8","13,8",0
158,P,PERIN,GENOA,"13,7","13,7",0
285,C,MONTOLIVO,MILAN,"13,7","13,7",0
25,A,BOAKYE,ATALANTA,"13,7","13,7",0
386,D,MAICON,ROMA,"13,7","13,7",0
315,C,JORGINHO,NAPOLI,"13,6","13,6",0
348,A,BELOTTI,PALERMO,"13,6","13,6",0
