STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
185,P,CARRIZO,INTER,1,0,0,0,1,0,0,0,0,0,0,1,0,7,0,4,4
431,P,POMINI,SASSUOLO,4,0,0,0,4,0,0,0,0,0,0,0,0,6.63,0,5.63,5.63
158,P,PERIN,GENOA,32,0,1,0,38,0,0,0,1,0,0,0,0,6.52,0,5.39,5.39
2,P,FREZZOLINI,ATALANTA,1,0,0,0,1,0,0,0,0,0,0,0,0,6.5,0,5.5,5.5
761,P,GOLLINI,VERONA,3,0,0,0,5,0,0,0,0,0,0,0,0,6.5,0,4.83,4.83
3,P,SPORTIELLO,ATALANTA,37,4,0,0,55,0,0,0,2,0,0,0,0,6.36,0,4.99,4.99
406,P,ROMERO,SAMPDORIA,10,1,0,0,12,0,0,0,1,0,0,0,0,6.35,0,5.4,5.4
211,P,BUFFON,JUVENTUS,33,0,0,0,20,0,0,0,2,0,0,0,0,6.33,0,5.91,5.91
759,P,KARNEZIS,UDINESE,37,2,0,0,51,0,0,0,1,0,0,0,0,6.32,0,5,5
160,P,LAMANNA,GENOA,8,0,0,0,9,0,0,0,3,0,0,0,0,6.31,0,6.31,6.31
213,P,STORARI,JUVENTUS,5,0,0,0,4,0,0,0,0,0,0,0,0,6.3,0,5.5,5.5
159,P,BIZZARRI,CHIEVO,28,1,0,0,24,0,0,0,0,0,0,0,0,6.29,0,5.41,5.41
740,P,DIEGO LOPEZ,MILAN,28,2,1,0,42,0,0,0,2,0,0,0,0,6.29,0,4.93,4.93
183,P,HANDANOVIC,INTER,37,2,0,0,47,0,0,0,4,0,0,0,0,6.24,0,5.27,5.27
125,P,NETO,FIORENTINA,29,4,0,0,35,0,0,0,0,0,0,0,0,6.24,0,4.97,4.97
1,P,CONSIGLI,SASSUOLO,35,2,1,0,53,0,0,0,1,0,0,0,0,6.2,0,4.71,4.71
712,P,VIVIANO,SAMPDORIA,29,3,0,0,30,0,0,0,0,0,0,0,0,6.19,0,5.1,5.1
482,P,BRKIC,CAGLIARI,21,0,0,0,34,0,0,0,0,0,0,0,0,6.17,0,4.55,4.55
127,P,TATARUSANU,FIORENTINA,9,0,0,0,11,0,0,0,0,0,0,1,0,6.17,0,4.72,4.72
324,P,SORRENTINO,PALERMO,35,1,0,0,51,0,0,0,0,0,0,0,0,6.17,0,4.7,4.7
351,P,MIRANTE,PARMA,33,4,1,0,60,0,0,0,1,0,0,0,0,6.17,0,4.35,4.35
241,P,BERISHA,LAZIO,10,0,0,0,9,0,0,0,1,0,0,0,0,6.15,0,5.55,5.55
52,P,AGLIARDI,CESENA,10,0,0,0,19,0,0,0,0,0,0,0,0,6.15,0,4.25,4.25
76,P,BARDI,CHIEVO,10,0,0,0,17,0,0,0,2,0,0,0,0,6.15,0,5.05,5.05
376,P,DE SANCTIS,ROMA,35,1,0,0,26,0,0,0,0,0,0,0,0,6.14,0,5.39,5.39
240,P,MARCHETTI,LAZIO,30,5,2,0,29,1,1,0,0,0,0,0,0,6.13,0,5.02,5.05
457,P,GILLET,TORINO,12,0,0,0,14,0,0,0,0,0,0,0,0,6.13,0,4.96,4.96
514,P,RAFAEL,VERONA,20,1,1,0,35,0,0,0,3,0,0,0,0,6.13,0,4.75,4.75
