STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
160,P,LAMANNA,GENOA,3,0,0,0,3,0,0,0,2,0,0,0,0,6.83,0,7.83,7.83
185,P,CARRIZO,INTER,1,0,0,0,1,0,0,0,0,0,0,1,0,6.5,0,3.5,3.5
76,P,BARDI,CHIEVO,9,0,0,0,15,0,0,0,2,0,0,0,0,6.5,0,5.5,5.5
712,P,VIVIANO,SAMPDORIA,19,2,0,0,16,0,0,0,0,0,0,0,0,6.39,0,5.5,5.5
159,P,BIZZARRI,CHIEVO,19,1,0,0,15,0,0,0,0,0,0,0,0,6.37,0,5.55,5.55
431,P,POMINI,SASSUOLO,3,0,0,0,3,0,0,0,0,0,0,0,0,6.33,0,5.33,5.33
759,P,KARNEZIS,UDINESE,27,0,0,0,36,0,0,0,1,0,0,0,0,6.33,0,5.11,5.11
158,P,PERIN,GENOA,26,0,1,0,30,0,0,0,1,0,0,0,0,6.31,0,5.23,5.23
457,P,GILLET,TORINO,12,0,0,0,14,0,0,0,0,0,0,0,0,6.29,0,5.13,5.13
125,P,NETO,FIORENTINA,20,2,0,0,20,0,0,0,0,0,0,0,0,6.28,0,5.22,5.22
3,P,SPORTIELLO,ATALANTA,28,3,0,0,38,0,0,0,2,0,0,0,0,6.27,0,5.07,5.07
211,P,BUFFON,JUVENTUS,26,0,0,0,13,0,0,0,1,0,0,0,0,6.25,0,5.87,5.87
740,P,DIEGO LOPEZ,MILAN,20,2,1,0,28,0,0,0,1,0,0,0,0,6.25,0,4.9,4.9
482,P,BRKIC,CAGLIARI,11,0,0,0,19,0,0,0,0,0,0,0,0,6.23,0,4.5,4.5
406,P,ROMERO,SAMPDORIA,10,1,0,0,12,0,0,0,1,0,0,0,0,6.2,0,5.25,5.25
324,P,SORRENTINO,PALERMO,28,1,0,0,41,0,0,0,0,0,0,0,0,6.2,0,4.71,4.71
183,P,HANDANOVIC,INTER,27,1,0,0,35,0,0,0,3,0,0,0,0,6.19,0,5.2,5.2
127,P,TATARUSANU,FIORENTINA,8,0,0,0,11,0,0,0,0,0,0,1,0,6.19,0,4.56,4.56
52,P,AGLIARDI,CESENA,3,0,0,0,4,0,0,0,0,0,0,0,0,6.17,0,4.83,4.83
240,P,MARCHETTI,LAZIO,22,5,1,0,19,0,0,0,0,0,0,0,0,6.16,0,5.14,5.14
514,P,RAFAEL,VERONA,13,0,0,0,25,0,0,0,1,0,0,0,0,6.15,0,4.46,4.46
106,P,SEPE,EMPOLI,24,0,0,0,20,0,0,0,0,0,0,1,0,6.15,0,5.23,5.23
51,P,LEALI,CESENA,26,1,1,0,45,0,0,0,2,0,0,0,0,6.13,0,4.58,4.58
1,P,CONSIGLI,SASSUOLO,26,1,1,0,40,0,0,0,1,0,0,0,0,6.13,0,4.65,4.65
376,P,DE SANCTIS,ROMA,26,0,0,0,18,0,0,0,0,0,0,0,0,6.1,0,5.4,5.4
297,P,ANDUJAR,NAPOLI,5,0,0,0,6,0,0,0,0,0,0,0,0,6.1,0,4.9,4.9
268,P,ABBIATI,MILAN,8,0,0,0,7,0,0,0,0,0,0,0,0,6.06,0,5.19,5.19
213,P,STORARI,JUVENTUS,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5.5,5.5
455,P,PADELLI,TORINO,16,2,0,0,16,0,0,0,1,0,0,0,0,5.97,0,5.09,5.09
483,P,BENUSSI,VERONA,13,1,0,0,19,0,0,0,0,0,0,0,0,5.96,0,4.46,4.46
351,P,MIRANTE,PARMA,22,3,1,0,43,0,0,0,1,0,0,0,0,5.93,0,4,4
29,P,CRAGNO,CAGLIARI,14,0,0,0,26,0,0,0,0,0,0,0,0,5.93,0,4.07,4.07
296,P,RAFAEL CABRAL,NAPOLI,23,0,0,0,30,0,0,0,0,0,0,0,0,5.89,0,4.59,4.59
241,P,BERISHA,LAZIO,7,0,0,0,8,0,0,0,0,0,0,0,0,5.86,0,4.71,4.71
379,P,SKORUPSKI,ROMA,2,0,0,0,3,0,0,0,0,0,0,0,0,5.75,0,4.25,4.25
104,P,BASSI,EMPOLI,4,0,0,0,10,0,0,0,0,0,0,0,0,5.75,0,3.25,3.25
761,P,GOLLINI,VERONA,2,0,0,0,4,0,0,0,0,0,0,0,0,5.75,0,3.75,3.75
27,P,COLOMBI,CAGLIARI,3,1,0,0,8,0,0,0,0,0,0,0,0,5.33,0,2.5,2.5
353,P,IACOBUCCI,PARMA,5,0,0,0,10,0,0,0,0,0,0,0,0,5.3,0,3.3,3.3
349,A,DYBALA,PALERMO,27,3,0,10,0,6,4,2,0,0,2,0,0,6.56,1,7.83,8.06
239,A,TEVEZ,JUVENTUS,26,4,0,14,0,6,6,0,0,1,2,0,4,6.52,0,8.17,8.4
323,A,ZAPATA D.,NAPOLI,10,2,0,6,0,1,1,0,0,0,0,0,2,6.45,2,8.15,8.25
887,A,ETO'O,SAMPDORIA,7,1,0,1,0,1,1,0,0,0,0,0,0,6.43,0,6.79,6.93
424,A,EDER,SAMPDORIA,26,4,0,8,0,3,3,0,0,0,1,0,2,6.42,2,7.38,7.5
426,A,GABBIADINI,NAPOLI,21,5,0,10,0,2,2,0,0,0,0,0,5,6.38,2,7.69,7.79
319,A,INSIGNE,NAPOLI,10,0,0,1,0,2,2,0,0,0,0,0,0,6.35,0,6.65,6.85
236,A,GIOVINCO,JUVENTUS,3,0,0,0,0,0,0,0,0,0,0,0,0,6.33,0,6.33,6.33
881,A,VERDE,ROMA,5,0,0,0,0,2,2,0,0,0,0,0,0,6.3,0,6.3,6.7
853,A,VALZANIA,CESENA,2,1,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6,6
824,A,BONAZZOLI,INTER,2,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,6.25
826,A,EL HAMDAOUI,FIORENTINA,2,0,0,1,0,0,0,0,0,0,0,0,0,6.25,0,7.75,7.75
480,A,QUAGLIARELLA,TORINO,27,3,0,8,0,1,1,0,0,0,2,0,4,6.24,0,7.3,7.33
510,A,DI NATALE,UDINESE,23,4,0,10,0,4,3,1,0,0,0,0,2,6.22,0,7.43,7.61
538,A,TONI,VERONA,28,2,0,10,0,2,2,0,0,1,3,0,2,6.21,1,7.46,7.54
292,A,MENEZ,MILAN,28,3,0,7,0,3,2,1,0,0,8,0,4,6.2,1,7.75,7.86
47,A,IBARBO,ROMA,13,4,1,2,0,2,2,0,0,0,0,0,0,6.19,0,6.42,6.58
709,A,OSVALDO,INTER,8,1,0,5,0,1,1,0,0,0,0,0,1,6.19,0,8,8.13
266,A,KLOSE,LAZIO,19,2,0,8,0,3,3,0,0,0,0,0,3,6.18,0,7.39,7.55
153,A,BABACAR,FIORENTINA,18,2,0,7,0,1,1,0,0,1,0,0,4,6.17,1,7.11,7.17
238,A,MORATA,JUVENTUS,21,4,1,7,0,3,3,0,0,0,0,0,1,6.17,0,7.02,7.17
293,A,NIANG,GENOA,10,2,0,3,0,1,1,0,0,0,0,0,1,6.15,0,6.95,7.05
512,A,MURIEL,SAMPDORIA,14,0,0,3,0,2,1,1,0,0,0,0,0,6.14,0,6.79,6.93
318,A,HIGUAIN,NAPOLI,27,4,0,11,0,3,3,0,0,2,2,0,6,6.13,1,7.28,7.39
427,A,OKAKA,SAMPDORIA,27,5,0,4,0,2,2,0,0,0,0,0,2,6.13,0,6.48,6.56
209,A,ICARDI,INTER,26,4,0,12,0,2,2,0,0,0,3,0,5,6.12,2,7.77,7.85
49,A,PINILLA,ATALANTA,18,6,0,5,0,1,1,0,0,1,0,0,3,6.08,0,6.58,6.64
454,A,ZAZA,SASSUOLO,22,10,0,7,0,1,1,0,0,0,1,0,1,6.07,0,6.93,6.98
895,A,M'POKU,CAGLIARI,7,1,0,1,0,0,0,0,0,0,0,0,0,6.07,0,6.43,6.43
182,A,MATRI,JUVENTUS,17,2,0,7,0,2,2,0,0,1,0,0,3,6.06,1,7.06,7.18
