STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
160,P,LAMANNA,GENOA,3,0,0,0,3,0,0,0,2,0,0,0,0,6.67,0,7.67,7.67
185,P,CARRIZO,INTER,1,0,0,0,1,0,0,0,0,0,0,1,0,6.5,0,3.5,3.5
158,P,PERIN,GENOA,26,0,1,0,30,0,0,0,1,0,0,0,0,6.5,0,5.42,5.42
52,P,AGLIARDI,CESENA,3,0,0,0,4,0,0,0,0,0,0,0,0,6.5,0,5.17,5.17
712,P,VIVIANO,SAMPDORIA,18,2,0,0,16,0,0,0,0,0,0,0,0,6.47,0,5.53,5.53
268,P,ABBIATI,MILAN,8,0,0,0,7,0,0,0,0,0,0,0,0,6.38,0,5.5,5.5
324,P,SORRENTINO,PALERMO,28,1,0,0,41,0,0,0,0,0,0,0,0,6.38,0,4.89,4.89
406,P,ROMERO,SAMPDORIA,10,1,0,0,12,0,0,0,1,0,0,0,0,6.35,0,5.4,5.4
125,P,NETO,FIORENTINA,20,1,0,0,20,0,0,0,0,0,0,0,0,6.35,0,5.33,5.33
211,P,BUFFON,JUVENTUS,26,0,0,0,13,0,0,0,1,0,0,0,0,6.35,0,5.96,5.96
76,P,BARDI,CHIEVO,9,0,0,0,15,0,0,0,2,0,0,0,0,6.33,0,5.33,5.33
482,P,BRKIC,CAGLIARI,11,0,0,0,19,0,0,0,0,0,0,0,0,6.32,0,4.59,4.59
759,P,KARNEZIS,UDINESE,27,0,0,0,36,0,0,0,1,0,0,0,0,6.31,0,5.09,5.09
159,P,BIZZARRI,CHIEVO,19,1,0,0,15,0,0,0,0,0,0,0,0,6.26,0,5.45,5.45
127,P,TATARUSANU,FIORENTINA,8,0,0,0,11,0,0,0,0,0,0,1,0,6.25,0,4.63,4.63
106,P,SEPE,EMPOLI,24,0,0,0,20,0,0,0,0,0,0,1,0,6.25,0,5.33,5.33
3,P,SPORTIELLO,ATALANTA,28,3,0,0,38,0,0,0,2,0,0,0,0,6.25,0,5.05,5.05
240,P,MARCHETTI,LAZIO,22,4,1,0,19,0,0,0,0,0,0,0,0,6.25,0,5.25,5.25
761,P,GOLLINI,VERONA,2,0,0,0,4,0,0,0,0,0,0,0,0,6.25,0,4.25,4.25
183,P,HANDANOVIC,INTER,27,1,0,0,35,0,0,0,3,0,0,0,0,6.22,0,5.24,5.24
457,P,GILLET,TORINO,12,0,0,0,14,0,0,0,0,0,0,0,0,6.21,0,5.04,5.04
740,P,DIEGO LOPEZ,MILAN,20,2,1,0,28,0,0,0,1,0,0,0,0,6.2,0,4.85,4.85
431,P,POMINI,SASSUOLO,3,0,0,0,3,0,0,0,0,0,0,0,0,6.17,0,5.17,5.17
1,P,CONSIGLI,SASSUOLO,26,1,1,0,40,0,0,0,1,0,0,0,0,6.13,0,4.65,4.65
483,P,BENUSSI,VERONA,13,1,0,0,19,0,0,0,0,0,0,0,0,6.12,0,4.62,4.62
297,P,ANDUJAR,NAPOLI,5,0,0,0,6,0,0,0,0,0,0,0,0,6.1,0,4.9,4.9
376,P,DE SANCTIS,ROMA,26,0,0,0,18,0,0,0,0,0,0,0,0,6.1,0,5.4,5.4
379,P,SKORUPSKI,ROMA,2,0,0,0,3,0,0,0,0,0,0,0,0,6,0,4.5,4.5
514,P,RAFAEL,VERONA,13,0,0,0,25,0,0,0,1,0,0,0,0,6,0,4.31,4.31
213,P,STORARI,JUVENTUS,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5.5,5.5
51,P,LEALI,CESENA,26,0,1,0,45,0,0,0,2,0,0,0,0,5.98,0,4.44,4.44
455,P,PADELLI,TORINO,16,2,0,0,16,0,0,0,1,0,0,0,0,5.97,0,5.09,5.09
296,P,RAFAEL CABRAL,NAPOLI,23,0,0,0,30,0,0,0,0,0,0,0,0,5.87,0,4.57,4.57
241,P,BERISHA,LAZIO,7,0,0,0,8,0,0,0,0,0,0,0,0,5.86,0,4.71,4.71
351,P,MIRANTE,PARMA,22,3,1,0,43,0,0,0,1,0,0,0,0,5.82,0,3.89,3.89
29,P,CRAGNO,CAGLIARI,14,0,0,0,26,0,0,0,0,0,0,0,0,5.71,0,3.86,3.86
353,P,IACOBUCCI,PARMA,5,0,0,0,10,0,0,0,0,0,0,0,0,5.7,0,3.7,3.7
104,P,BASSI,EMPOLI,4,0,0,0,10,0,0,0,0,0,0,0,0,5.63,0,3.13,3.13
27,P,COLOMBI,CAGLIARI,3,1,0,0,8,0,0,0,0,0,0,0,0,5.5,0,2.67,2.67
349,A,DYBALA,PALERMO,27,2,0,10,0,3,3,0,0,0,2,0,0,6.72,1,8.02,8.13
239,A,TEVEZ,JUVENTUS,26,4,0,14,0,6,6,0,0,1,2,0,4,6.67,0,8.33,8.56
824,A,BONAZZOLI,INTER,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,6.5,6.5
826,A,EL HAMDAOUI,FIORENTINA,1,0,0,1,0,0,0,0,0,0,0,0,0,6.5,0,9.5,9.5
887,A,ETO'O,SAMPDORIA,6,1,0,1,0,1,1,0,0,0,0,0,0,6.5,0,6.92,7.08
510,A,DI NATALE,UDINESE,23,4,0,10,0,3,3,0,0,0,0,0,2,6.46,0,7.67,7.8
323,A,ZAPATA D.,NAPOLI,7,0,0,6,0,1,1,0,0,0,0,0,2,6.43,2,9,9.14
424,A,EDER,SAMPDORIA,26,3,0,8,0,3,3,0,0,0,1,0,2,6.42,2,7.4,7.52
538,A,TONI,VERONA,28,2,0,10,0,2,2,0,0,1,3,0,2,6.41,1,7.66,7.73
426,A,GABBIADINI,NAPOLI,19,4,0,10,0,2,2,0,0,0,0,0,5,6.37,2,7.84,7.95
895,A,M'POKU,CAGLIARI,7,1,0,1,0,0,0,0,0,0,0,0,0,6.36,0,6.71,6.71
319,A,INSIGNE,NAPOLI,10,0,0,1,0,0,0,0,0,0,0,0,0,6.35,0,6.65,6.65
427,A,OKAKA,SAMPDORIA,26,4,0,4,0,2,2,0,0,0,0,0,2,6.33,0,6.71,6.79
122,A,MACCARONE,EMPOLI,25,2,0,6,0,4,4,0,0,0,1,0,3,6.32,1,7.12,7.28
318,A,HIGUAIN,NAPOLI,27,4,0,11,0,5,5,0,0,2,2,0,6,6.3,1,7.44,7.63
403,A,TOTTI,ROMA,19,4,0,3,0,4,4,0,0,0,2,0,0,6.29,1,6.97,7.18
238,A,MORATA,JUVENTUS,20,3,1,7,0,4,4,0,0,0,0,0,1,6.28,0,7.2,7.4
236,A,GIOVINCO,JUVENTUS,2,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,6.25
709,A,OSVALDO,INTER,8,1,0,5,0,2,2,0,0,0,0,0,1,6.25,0,8.06,8.31
480,A,QUAGLIARELLA,TORINO,27,3,0,8,0,2,2,0,0,0,2,0,4,6.24,0,7.3,7.37
842,A,GEIJO,UDINESE,3,0,0,1,0,0,0,0,0,0,0,0,0,6.17,0,7.17,7.17
46,A,CAIO RANGEL,CAGLIARI,3,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,6.17,6.17
153,A,BABACAR,FIORENTINA,16,2,0,7,0,1,1,0,0,1,0,0,4,6.16,1,7.22,7.28
292,A,MENEZ,MILAN,28,3,0,7,0,2,2,0,0,0,8,0,4,6.16,1,7.71,7.79
401,A,LJAJIC,ROMA,22,1,0,7,0,2,2,0,0,1,1,0,0,6.16,2,7.09,7.18
264,A,DJORDJEVIC,LAZIO,19,1,0,7,0,1,1,0,0,0,0,0,2,6.13,0,7.21,7.26
881,A,VERDE,ROMA,4,0,0,0,0,1,1,0,0,0,0,0,0,6.13,0,6.13,6.38
50,A,SAU,CAGLIARI,18,2,0,4,0,3,3,0,0,0,0,0,1,6.11,2,6.72,6.89
293,A,NIANG,GENOA,10,1,0,3,0,1,1,0,0,0,0,0,1,6.1,0,6.95,7.05
74,A,RODRIGUEZ A.,CESENA,13,1,0,3,0,0,0,0,0,0,1,0,3,6.08,0,6.96,6.96
816,A,SAVIOLA,VERONA,6,0,0,1,0,2,2,0,0,0,0,0,1,6.08,0,6.58,6.92
449,A,BERARDI,SASSUOLO,23,9,1,4,0,4,4,0,0,1,4,0,0,6.07,0,6.74,6.91
102,A,PALOSCHI,CHIEVO,26,2,0,7,0,1,1,0,0,1,0,0,3,6.06,0,6.71,6.75
209,A,ICARDI,INTER,26,4,0,12,0,2,2,0,0,0,3,0,5,6.04,2,7.69,7.77
512,A,MURIEL,SAMPDORIA,13,1,0,3,0,2,2,0,0,0,0,0,0,6.04,0,6.69,6.85
513,A,THEREAU,UDINESE,24,3,0,8,0,0,0,0,0,0,0,1,2,6.04,1,6.9,6.9
535,A,JUANITO GOMEZ,VERONA,18,4,0,2,0,1,1,0,0,0,0,0,1,6.03,1,6.25,6.31
511,A,LOPEZ N.,VERONA,16,2,0,5,0,1,1,0,0,0,0,0,0,6.03,2,6.91,6.97
266,A,KLOSE,LAZIO,22,2,0,8,0,3,3,0,0,0,0,0,3,6.02,0,7.07,7.2
267,A,PEREA,LAZIO,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,5.5,5.5
182,A,MATRI,JUVENTUS,15,2,0,7,0,4,4,0,0,1,0,0,3,6,1,7.13,7.4
73,A,MARILUNGO,CESENA,8,0,0,1,0,0,0,0,0,0,0,0,0,6,0,6.38,6.38
75,A,SUCCI,CESENA,3,1,0,1,0,0,0,0,0,0,0,0,0,6,0,6.83,6.83
47,A,IBARBO,ROMA,13,4,1,2,0,2,2,0,0,0,0,0,0,6,0,6.23,6.38
402,A,SANABRIA,ROMA,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
397,A,BORRIELLO,GENOA,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,5.75,5.75
879,A,FERNANDINHO,VERONA,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
837,A,PUSCAS,INTER,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
101,A,MEGGIORINI,CHIEVO,21,7,0,3,0,3,3,0,0,0,0,0,2,5.98,0,6.24,6.38
348,A,BELOTTI,PALERMO,19,1,0,4,0,0,0,0,0,0,1,0,2,5.97,1,6.74,6.74
398,A,DESTRO,MILAN,18,4,0,7,0,0,0,0,0,0,0,0,3,5.94,1,7,7
453,A,SANSONE N.,SASSUOLO,26,1,1,5,0,3,3,0,0,0,0,0,2,5.94,0,6.46,6.58
70,A,DEFREL,CESENA,24,5,0,6,0,2,2,0,0,0,0,0,0,5.94,0,6.58,6.67
265,A,KEITA B.,LAZIO,15,2,0,0,0,0,0,0,0,0,0,0,0,5.93,0,5.87,5.87
123,A,MCHEDLIDZE,EMPOLI,12,2,0,1,0,0,0,0,0,0,0,0,1,5.92,0,6.08,6.08
49,A,PINILLA,ATALANTA,19,6,0,5,0,1,1,0,0,1,0,0,3,5.92,0,6.39,6.45
452,A,PAVOLETTI,GENOA,6,1,0,1,0,0,0,0,0,0,0,0,0,5.92,0,6.33,6.33
399,A,GERVINHO,ROMA,19,1,0,2,0,3,3,0,0,0,0,0,0,5.92,0,6.21,6.37
103,A,PELLISSIER,CHIEVO,11,0,0,3,0,0,0,0,0,0,0,0,1,5.91,0,6.73,6.73
454,A,ZAZA,SASSUOLO,22,10,0,7,0,1,1,0,0,0,1,0,1,5.89,0,6.75,6.8
154,A,BERNARDESCHI,FIORENTINA,4,0,0,0,0,1,1,0,0,0,0,0,0,5.88,0,5.88,6.13
124,A,TAVANO,EMPOLI,19,1,0,1,0,1,1,0,0,0,1,0,0,5.87,0,6.16,6.21
71,A,DJURIC,CESENA,18,1,0,2,0,0,0,0,0,0,0,0,0,5.86,0,6.17,6.17
371,A,AMAURI,TORINO,14,2,0,1,0,0,0,0,0,0,0,0,0,5.86,0,6,6
99,A,FARIAS,CAGLIARI,17,5,0,4,0,0,0,0,0,0,0,0,0,5.85,1,6.41,6.41
707,A,BIANCHI,ATALANTA,10,1,0,0,0,1,1,0,0,0,0,0,0,5.85,0,5.8,5.9
100,A,MAXI LOPEZ,TORINO,19,1,0,3,0,1,1,0,0,0,0,0,3,5.84,0,6.29,6.34
400,A,ITURBE,ROMA,14,1,0,1,0,1,1,0,0,0,0,0,0,5.82,0,6,6.07
451,A,FLORO FLORES,SASSUOLO,14,3,0,1,0,0,0,0,0,0,0,0,1,5.82,0,5.93,5.93
450,A,FLOCCARI,SASSUOLO,15,0,0,2,0,0,0,0,0,0,0,0,1,5.8,0,6.2,6.2
237,A,LLORENTE,JUVENTUS,23,0,0,5,0,0,0,0,0,0,0,0,1,5.8,0,6.46,6.46
